dteday,season,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
28/11/2012,4,11,0,3,1,1,0.296667,0.289762,0.50625,0.210821,5260
29/11/2012,4,11,0,4,1,1,0.28087,0.298422,0.555652,0.115522,5323
30/11/2012,4,11,0,5,1,1,0.298333,0.323867,0.649583,0.0584708,5668
01/12/2012,4,12,0,6,0,2,0.298333,0.316904,0.806667,0.0597042,5191
02/12/2012,4,12,0,0,0,2,0.3475,0.359208,0.823333,0.124379,4649
03/12/2012,4,12,0,1,1,1,0.4525,0.455796,0.7675,0.0827208,6234
04/12/2012,4,12,0,2,1,1,0.475833,0.469054,0.73375,0.174129,6606
05/12/2012,4,12,0,3,1,1,0.438333,0.428012,0.485,0.324021,5729
06/12/2012,4,12,0,4,1,1,0.255833,0.258204,0.50875,0.174754,5375
07/12/2012,4,12,0,5,1,2,0.320833,0.321958,0.764167,0.1306,5008
08/12/2012,4,12,0,6,0,2,0.381667,0.389508,0.91125,0.101379,5582
09/12/2012,4,12,0,0,0,2,0.384167,0.390146,0.905417,0.157975,3228
10/12/2012,4,12,0,1,1,2,0.435833,0.435575,0.925,0.190308,5170
11/12/2012,4,12,0,2,1,2,0.353333,0.338363,0.596667,0.296037,5501
12/12/2012,4,12,0,3,1,2,0.2975,0.297338,0.538333,0.162937,5319
13/12/2012,4,12,0,4,1,1,0.295833,0.294188,0.485833,0.174129,5532
14/12/2012,4,12,0,5,1,1,0.281667,0.294192,0.642917,0.131229,5611
15/12/2012,4,12,0,6,0,1,0.324167,0.338383,0.650417,0.10635,5047
16/12/2012,4,12,0,0,0,2,0.3625,0.369938,0.83875,0.100742,3786
17/12/2012,4,12,0,1,1,2,0.393333,0.4015,0.907083,0.0982583,4585
18/12/2012,4,12,0,2,1,1,0.410833,0.409708,0.66625,0.221404,5557
19/12/2012,4,12,0,3,1,1,0.3325,0.342162,0.625417,0.184092,5267
20/12/2012,4,12,0,4,1,2,0.33,0.335217,0.667917,0.132463,4128
21/12/2012,1,12,0,5,1,2,0.326667,0.301767,0.556667,0.374383,3623
22/12/2012,1,12,0,6,0,1,0.265833,0.236113,0.44125,0.407346,1749
23/12/2012,1,12,0,0,0,1,0.245833,0.259471,0.515417,0.133083,1787
24/12/2012,1,12,0,1,1,2,0.231304,0.2589,0.791304,0.0772304,920
25/12/2012,1,12,1,2,0,2,0.291304,0.294465,0.734783,0.168726,1013
26/12/2012,1,12,0,3,1,3,0.243333,0.220333,0.823333,0.316546,441
27/12/2012,1,12,0,4,1,2,0.254167,0.226642,0.652917,0.350133,2114
28/12/2012,1,12,0,5,1,2,0.253333,0.255046,0.59,0.155471,3095
29/12/2012,1,12,0,6,0,2,0.253333,0.2424,0.752917,0.124383,1341
30/12/2012,1,12,0,0,0,1,0.255833,0.2317,0.483333,0.350754,1796
31/12/2012,1,12,0,1,1,2,0.215833,0.223487,0.5775,0.154846,2729
